Priority level,District Name,Facility Name,Building Name,ICOS#
Very High,Aberdeen,Hopkins Building (Harbor High School),Hopkins Building,57394
Very High,Aberdeen,J. M. Weatherwax High School,1964 Gymnasium Building,57378
Very High,Aberdeen,McDermoth Elementary School,Main Building,57397
Very High,Anacortes,Mount Erie Elementary School,1955 Original Main Building,54084
Very High,Boistfort,Boistfort Elementary,Gymnasium Building,57720
Very High,Boistfort,Boistfort Elementary,Main Building,57717
Very High,Burlington-Edison,Burlington-Edison High School,Art/Tiger TUB Building,50119
Very High,Burlington-Edison,Burlington-Edison High School,Cafeteria and 400 Wing,50117
Very High,Burlington-Edison,Burlington-Edison High School,CTE,50110
Very High,Burlington-Edison,Burlington-Edison High School,Fieldhouse 1953 and 1975,50109
Very High,Burlington-Edison,West View Elementary School School,Main Building,50095
Very High,Cape Flattery,Clallam Bay High and Elementary School,High School Building,57823
Very High,Cape Flattery,Neah Bay Elementary School,Elementary School,57829
Very High,Cape Flattery,Neah Bay Junior/ Senior High  School,Neah Bay High School Gym,57832
Very High,Carbonado,Carbonado Historical School 19,A - Main Building,57837
Very High,Centerville,Centerville Elementary School,Main Building,51688
Very High,Centralia,Washington Elementary School,Main Building,57962
Very High,Clover Park,Tillicum Elementary School,Classroom Building - TL1,50186
Very High,Evaline,Evaline Elementary School,Main Building,58128
Very High,Ferndale,Beach Elementary,Main Building,55002
Very High,Ferndale,Custer Elementary,Main Building,54976
Very High,Green Mountain,Green Mountain School,Main Building,58305
Very High,Highline,Southern Heights Elementary School,Building C - Admin/Multi Purpose,55188
Very High,Hoquiam,Central Elementary School,Main Building,58356
Very High,Hoquiam,Emerson Elementary School,Main Building,58357
Very High,Hoquiam,Hoquiam High School,A-Administration,58350
Very High,Hoquiam,Hoquiam High School,B-Science,58341
Very High,Hoquiam,Hoquiam High School,H-Gymnasium,58342
Very High,Index,Index Elementary School,Main Building,55232
Very High,Kelso,Carrolls Elementary School,Main Building,58401
Very High,Kelso,Rose Valley Elementary School,Main Building,58396
Very High,La Conner,La Conner High School,High School Auditorium,55667
Very High,La Conner,La Conner Middle School (form. Elem.),Old Auditorium/Cafeteria Bldg,55672
Very High,Longview,R. A. Long High School,Gym,58425
Very High,Longview,R. A. Long High School,Main Building,58427
Very High,Longview,R. A. Long High School,Shop Bldg,58428
Very High,Marysville,Marysville Pilchuck Sr High School,Auditorium - Bldg K,56248
Very High,Marysville,Marysville Pilchuck Sr High School,Library - Bldg J,56244
Very High,Marysville,Marysville Pilchuck Sr High School,Pool Building - Bldg L,56233
Very High,Marysville,Totem Middle School,Cafeteria Gym Building,56224
Very High,Morton,Morton Elementary School,Main Building,58501
Very High,Mount Baker,Acme Elementary School,Main Building,56410
Very High,Mount Baker,Mount Baker Senior High School,Field House,56426
Very High,Mount Vernon,Lincoln Elementary School,Main Building,50960
Very High,North Beach,Pacific Beach Elementary School,Gym/Lunchroom,58523
Very High,Ocean Beach,Ilwaco (Hilltop) Middle School,Auditorium,58642
Very High,Ocean Beach,Ilwaco (Hilltop) Middle School,Main Building,58643
Very High,Palisades,Palisades Elementary School,Main Building,52634
Very High,Pe Ell,Pe Ell School,Main Building,51321
Very High,Peninsula,Peninsula High School,Main Building (100,58796
Very High,Puyallup,Puyallup High School,Main Building,58962
Very High,Puyallup,Spinning Elementary School,Main Building,59065
Very High,Quilcene,Quilcene High And Elementary School,Elementary,59185
Very High,Quilcene,Quilcene High And Elementary School,High School,59184
Very High,Quillayute Valley,Forks Intermediate School,Main Building - 1952 Portion,59203
Very High,Quillayute Valley,Forks Jr-Sr High School,Main Jr High Building - 1949 Portion,59193
Very High,Raymond,Raymond Junior Senior High School,Main Building,59223
Very High,Renton,Hazen Senior High School,Bldg 1 Main Building,56888
Very High,Renton,Hazen Senior High School,Bldg 1 Music,56888
Very High,Renton,Lindbergh Senior High School,Main Building - North,56945
Very High,Renton,Lindbergh Senior High School,Main Building - South,56945
Very High,Skykomish,Skykomish School,Main Building,57083
Very High,Snohomish,Cathcart Elementary School,100 Building,57090
Very High,Snohomish,Central Elementary School,Main Building - Gym,57085
Very High,Snohomish,Central Elementary School,Main Building,57085
Very High,South Bend,South Bend Jr/Sr High School,Koplitz Field House,51399
Very High,South Bend,South Bend Jr/Sr High School,Vocational Building,51398
Very High,Stanwood-Camano,Stanwood Middle School,Main Building (Bldg 1) Units E and F,51448
Very High,Tacoma,Fern Hill Elementary School,Main Building,59748
Very High,Tacoma,Foss High School,Gym-Pool-Cafeteria,59802
Very High,Tacoma,Foss High School,Main Building - South,59802
Very High,Tacoma,Oakland High School,Main Building,59698
Very High,Tacoma,Tacoma School of the Arts-Pacific,SOTA Pacific Ave,59768
Very High,Tacoma,Willie Stewart Academy,Main Bldg,59727
Very High,Thorp,Thorp Elementary and Junior Senior High School,Brick Building,53670
Very High,Vashon Island,Vashon Island High School,Building D - Gymnasium,57368
Very High,White Salmon Valley,Hulan L. Whitson Elementary School,Main Building,51619
Very High,Woodland,Woodland Middle School,Gymnasium Building,60193
Very High,Woodland,Woodland Middle School,Main Building,60193
Very High,Woodland,Woodland Middle School,Performing Arts,60193
Very High,Woodland,Woodland Middle School,Shared High School /Middle School,60192
Very High,Woodland,Woodland Middle School,Vocational Building,60193
High,Bainbridge Island,Bainbridge High School,500 Building,57410
High,Bainbridge Island,Commodore Options School,Commodore Options School,57422
High,Bainbridge Island,Ordway Elementary School,Education Pod,57416
High,Bainbridge Island,Ordway Elementary School,K-4 Building,57416
High,Bainbridge Island,Ordway Elementary School,Main Building,57416
High,Battle Ground,Praire High School,500 Building,50021
High,Battle Ground,Praire High School,600 Building,50024
High,Bellingham,Roosevelt Elementary School,Main Building,54493
High,Bellingham,Whatcom Middle School,Industrial Arts Building,54467
High,Brinnon,Brinnon Elementary School,Main Building,57777
High,Burlington-Edison,Burlington-Edison High School,500 Wing,50112
High,Burlington-Edison,Burlington-Edison High School,Admin/Classroom Building,50118
High,Camas,Lacamas Heights Elementary School,100 Pod,57802
High,Camas,Lacamas Heights Elementary School,Multipurpose,57803
High,Camas,Liberty Middle School,Main Building,57790
High,Camas,Liberty Middle School,Music Building,57791
High,Cape Flattery,Clallam Bay High and Elementary School,Big Gym,57827
High,Cape Flattery,Clallam Bay High and Elementary School,Elementary Building,57824
High,Cape Flattery,Clallam Bay High and Elementary School,Elementary Gym,57822
High,Cape Flattery,Clallam Bay High and Elementary School,Shop and Art Building,57825
High,Cape Flattery,Neah Bay Jr/ Sr High School,Neah Bay High School Classroom Building,57833
High,Cape Flattery,Neah Bay Jr/ Sr High School,Neah Bay High School Shop Building,57835
High,Carbonado,Carbonado Historical School 19,B - Community Gym,57838
High,Cascade,Beaver Valley School,Old Winton School House,51677
High,Central Kitsap,Cottonwood Elementary School,Gym,57901
High,Centralia,Centralia Middle School,Classroom Wings,57953
High,Centralia,Centralia Middle School,Gym Wing,57953
High,Centralia,Centralia Middle School,Main Building,57953
High,Centralia,Edison Elementary School,Main Building,57958
High,Centralia,Oakview Elementary School,Main Building,57970
High,Chimacum,Chimacum Middle School,Middle School Bldg 100 B,58032
High,Clover Park,Custer Elementary School,Second Classroom Building,50240
High,Clover Park,Oakbrook Elementary School,First Classroom Building,50244
High,Clover Park,Oakbrook Elementary School,Gym / MPR,50245
High,Concrete,Concrete High School,Main Building,54519
High,Concrete,Concrete High School,Tech Building,54518
High,Cosmopolis,Cosmopolis Elementary School,Auditorium Building,58041
High,Cosmopolis,Cosmopolis Elementary School,Main Building,58038
High,Cosmopolis,Cosmopolis Elementary School,Multipurpose Building,58037
High,Coupeville,Coupeville Elementary School,Cedar Pod,54538
High,Darrington,Darrington Senior High School,Darrington High School,54547
High,Darrington,Darrington Senior High School,Woodshop,54546
High,Dayton,Dayton High School,Ag Shop,51839
High,Dayton,Dayton High School,High School Building,51838
High,Dayton,Dayton High School,Wood Shop,51840
High,Dixie,Dixie Elementary School,Main Building,51843
High,East Valley (Yakima),East Valley Central Middle School,Gymnasium Building,50350
High,Ephrata,Ephrata High School,1937 Annex (Former Beezley Springs ES),51934
High,Ephrata,Ephrata High School,Performing Arts Center PAC,51932
High,Ephrata,Grant Elementary School,Main Building,51927
High,Everett,Jackson Elementary School,Main Building,54780
High,Everett,Madison Elementary School,Main Building,54831
High,Federal Way,Camelot Elementary School,Main Building,50675
High,Federal Way,Kilo Middle School,Building E Little Theater,50809
High,Federal Way,Kilo Middle School,Building G,50805
High,Federal Way,Sacajawea Middle School,100 Building,50706
High,Federal Way,Sacajawea Middle School,300 Building/Cafeteria,50704
High,Federal Way,Sacajawea Middle School,400 Building,50702
High,Federal Way,Sacajawea Middle School,600/700/800 Building,50703
High,Federal Way,Sacajawea Middle School,900 Building,50699
High,Federal Way,Sacajawea Middle School,Gym (500) Building,50705
High,Federal Way,Sacajawea Middle School,Main Office Building,50700
High,Ferndale,Central Elementary School,Main Building,54971
High,Fife,Fife High School,Building IV 400 Library,58147
High,Fife,Fife High School,Building V 500 Main,58144
High,Fife,Fife High School,Building VIII 800 Shop,58145
High,Granite Falls,Crossroads High School (form. MS),Main Building,55015
High,Granite Falls,Granite Falls Middle School (form. HS),Main Building - Gym,55028
High,Granite Falls,Granite Falls Middle School (form. HS),Main Building (Excl. Gym),55028
High,Green Mountain,Green Mountain School,Gymnasium,58303
High,Harrington,Harrington Elementary & High School,Main Building,52039
High,Highline,Beverly Park @ Glendale Elementary School,Main Building A,55096
High,Highline,Beverly Park @ Glendale Elementary School,Multi-Purpose Building B,55097
High,Highline,Chinook Middle School,100 Building,55065
High,Highline,Chinook Middle School,200 Building,55067
High,Highline,Chinook Middle School,300 Building - Gymnasium,55063
High,Highline,Chinook Middle School,400 Building - Cafeteria,55066
High,Highline,Chinook Middle School,800 Building,55064
High,Highline,Hilltop Elementary School,100 Building - Bldg A,55177
High,Highline,Hilltop Elementary School,200 Building - Bldg B,55176
High,Highline,Hilltop Elementary School,300 Building - Bldg C,55178
High,Highline,Sylvester Middle School,100 Building,55128
High,Highline,Sylvester Middle School,200 Building,55131
High,Highline,Sylvester Middle School,300 Building - Gymnasium/Cafeteria,55134
High,Highline,Sylvester Middle School,400 Building,55130
High,Highline,Sylvester Middle School,500 Building - Library,55133
High,Highline,Sylvester Middle School,600 Building,55129
High,Highline,Sylvester Middle School,700 Building - Band/Drama,55132
High,Highline,Woodside Site,Annex,55073
High,Highline,Woodside Site,Main Building,55072
High,Hockinson,Hockinson Heights Elementary School (East),Building 800 H,58325
High,Hoquiam,Hoquiam High School,D-Business Education,58347
High,Hoquiam,Hoquiam High School,E-Library,58344
High,Hoquiam,Hoquiam High School,F-Humanities,58345
High,Hoquiam,Hoquiam High School,G-Little Theater,58346
High,Hoquiam,Lincoln Elementary School,East Wing,58355
High,Hoquiam,Lincoln Elementary School,Multipurpose Building,58354
High,Hoquiam,Lincoln Elementary School,West Wing,58353
High,Kelso,Coweeman Middle School,Main Building,58393
High,La Center,La Center Elementary & Middle Schools,Building 300 - ES Main Building,50901
High,Lake Washington,Rockwell Elementary School,Main Building,55771
High,Longview,Mint Valley Elementary School,Building A - 1,58459
High,Longview,Mint Valley Elementary School,Building B - 2,58458
High,Longview,Mint Valley Elementary School,Building D - 4,58461
High,Longview,Northlake Elementary School,Main Building,58447
High,Longview,Olympic Elementary School,Annex Building,58438
High,Longview,Olympic Elementary School,Main Building,58436
High,Longview,Olympic Elementary School,Multipurpose Building,58437
High,Longview,R. A. Long High School,RA Long Annex,58426
High,Longview,R. A. Long High School,Science Wing,58424
High,Lopez Island,Lopez Middle High School,Junior Senior High Building,56068
High,Mabton,Mabton Jr/Sr High School,Main Building,52288
High,Mabton,Mabton Jr/Sr High School,Shop/Ag Building,52289
High,Mary M Knight,Mary M. Knight School,Elementary School,50921
High,Marysville,Cascade Elementary School,Unit A,56103
High,Marysville,Cascade Elementary School,Unit B,56101
High,Marysville,Cascade Elementary School,Unit C,56104
High,Marysville,Cascade Elementary School,Unit D,56102
High,Marysville,Liberty Elementary School,Main Building,56194
High,Marysville,Marysville Middle School,Building C - Shop Classrooms,56213
High,Marysville,Marysville Middle School,Main Building,56214
High,Marysville,Marysville Pilchuck Sr High School,Arts and Crafts Building - Bldg B,56254
High,Marysville,Marysville Pilchuck Sr High School,Business Ed and Home Learning - Bldg C,56242
High,Marysville,Marysville Pilchuck Sr High School,East Building - Bldg H,56240
High,Marysville,Marysville Pilchuck Sr High School,Gym & New Food Commons - Bldg M,56246
High,Marysville,Marysville Pilchuck Sr High School,Life Science Building - Bldg F,56253
High,Marysville,Marysville Pilchuck Sr High School,Mech Plant and Former Cafeteria - Bldg E,56235
High,Marysville,Marysville Pilchuck Sr High School,Occupational Center - Bldg A,56245
High,Marysville,Pinewood Elementary School,Bldg E,56134
High,Marysville,Pinewood Elementary School,Bldg L (Library),56141
High,Marysville,Pinewood Elementary School,Bldg M (Gym),56139
High,Marysville,Pinewood Elementary School,Building A,56135
High,Marysville,Pinewood Elementary School,Building D,56142
High,Marysville,Shoultes Elementary School,B Building,56264
High,Marysville,Shoultes Elementary School,Gym Building A,56266
High,Marysville,Shoultes Elementary School,D Building,56265
High,Marysville,Shoultes Elementary School,C Building,56267
High,Marysville,Totem Middle School,Home Economics Building,56232
High,Marysville,Totem Middle School,Main Building,56231
High,Marysville,Totem Middle School,School House Cafe,56227
High,Marysville,Totem Middle School,Science Building,56226
High,Methow Valley,Methow Valley Elementary School,Main Building,52355
High,Morton,Morton Junior Senior High School,Gymnasium,58506
High,Morton,Morton Junior Senior High School,Main Building,58505
High,Morton,Morton Junior Senior High School,Shop,58507
High,Napavine,Napavine Elementary School,Main Building,58512
High,Napavine,Napavine Junior Senior High School,Annex,58513
High,Napavine,Napavine Junior Senior High School,Main,58514
High,Naselle-Grays River Valley,Naselle K-12 School,Administration/Misc. Building,51032
High,Naselle-Grays River Valley,Naselle K-12 School,Elementary,51032
High,North Beach,North Beach Junior/Senior High School,Main Building,58529
High,North Beach,Pacific Beach Elementary School,Main Building,58524
High,North Beach,Pacific Beach Elementary School,Quad Building,58525
High,North Mason,Belfair Elementary School,Gymnasium Building,58613
High,North Mason,Belfair Elementary School,Main Building,58614
High,North River,North River School,Elementary,58630
High,North River,North River School,Gym Home Ec-Cafeteria,58634
High,North River,North River School,High School & Admin Building,58631
High,North River,North River School,Talley Building (Music/Art),58636
High,Northshore,Canyon Creek Elementary School,Building A - Classroom/Library,56750
High,Northshore,Canyon Creek Elementary School,Building C - Cafeteria/Gym,56753
High,Northshore,Crystal Springs Elementary School,Building 1 - Admin,56775
High,Northshore,Crystal Springs Elementary School,Building 2 - Classrooms/Kitchen,56774
High,Northshore,Crystal Springs Elementary School,Building 3/4 - Classrooms,56772
High,Northshore,Crystal Springs Elementary School,Building 5 - Classrooms,56770
High,Northshore,Shelton View Elementary School,Building A1/10 - Classroom,56732
High,Northshore,Shelton View Elementary School,Building C - Gym,56727
High,Oak Harbor,Clover Valley School,Main Building,51299
High,Oak Harbor,Oak Harbor Middle School,Band Building,51291
High,Oak Harbor,Oak Harbor Middle School,C Wing - Cafeteria,51290
High,Oak Harbor,Oak Harbor Middle School,D Wing,51294
High,Ocean Beach,Ilwaco High School,Ilwaco High School,58649
High,Ocean Beach,Ilwaco High School,Stadium Complex,58650
High,Ocean Beach,Long Beach Elementary School,Main Building,58645
High,Orting,Orting Primary School,Main Building,58761
High,Palisades,Palisades Elementary School,Grange Hall,52635
High,Pateros,Pateros K-12 School,Main Building,52831
High,Pateros,Pateros K-12 School,Metal Shop,52830
High,Pateros,Pateros K-12 School,Music Building,52832
High,Peninsula,Discovery Elementary School,Main Building,58839
High,Peninsula,Gig Harbor High School,Main Building,58821
High,Peninsula,Gig Harbor High School,Voc-Ed Building,58820
High,Peninsula,Peninsula High School,500 Building,58793
High,Peninsula,Peninsula High School,600 Building,58795
High,Peninsula,Peninsula High School,800 Building - Auditorium Area,58792
High,Peninsula,Peninsula High School,900 Building - Pool Building,58794
High,Port Townsend,Port Townsend High School,Gym,58899
High,Port Townsend,Port Townsend High School,Main Building,58898
High,Port Townsend,Port Townsend High School,Math Science Annex,58900
High,Port Townsend,Port Townsend High School,Stuart Building,58901
High,Puyallup,Maplewood Elementary School,Main Building,59005
High,Puyallup,Meeker Elementary School,Main Building,59062
High,Puyallup,Mt View Elementary School,Multipurpose Building,58954
